,NAME,NATIONALITY,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
0,Cristiano Ronaldo,Portugal,99,97,99,93,98,47,96
1,Cristiano Ronaldo,Portugal,99,98,99,94,98,50,95
2,Pelé,Brazil,98,95,96,93,96,60,76
3,Lionel Messi,Argentina,98,97,97,97,98,43,82
4,Mohamed Salah,Egypt,98,99,98,95,99,65,92
5,Mohamed Salah,Egypt,98,99,98,95,99,65,92
6,Lionel Messi,Argentina,98,96,97,98,99,45,81
7,Pelé,Brazil,98,95,96,93,96,60,76
8,Neymar,Brazil,97,97,98,97,99,43,82
9,Gonzalo Higuaín,Argentina,97,90,97,85,95,37,88
10,Paulo Dybala,Argentina,97,95,97,96,99,40,84
11,Diego Maradona,Argentina,97,92,93,92,97,40,76
12,Robert Lewandowski,Poland,97,89,97,89,95,50,93
13,Neymar,Brazil,97,97,98,97,99,43,82
14,Luis Suárez,Uruguay,97,89,98,92,96,55,91
15,Sergio Agüero,Argentina,97,96,97,91,98,36,90
16,Cristiano Ronaldo,Portugal,97,93,97,89,94,37,86
17,Sergio Ramos,Spain,97,86,79,88,89,98,96
18,Diego Maradona,Argentina,97,92,93,92,97,40,76
19,Edinson Cavani,Uruguay,96,90,98,91,93,56,93
20,Dries Mertens,Belgium,96,97,96,93,97,46,80
21,Ciro Immobile,Italy,96,92,98,82,91,52,88
22,Marco Reus,Germany,96,97,96,94,96,50,82
23,Toni Kroos,Germany,96,67,92,99,95,85,80
24,Antoine Griezmann,France,96,95,96,94,98,45,83
25,Kevin De Bruyne,Belgium,96,86,97,97,95,58,90
26,Lionel Messi,Argentina,96,93,94,91,99,31,69
27,Cristiano Ronaldo,Portugal,96,92,96,86,93,36,84
28,Leonardo Bonucci,Italy,96,80,72,92,80,97,96
29,Luka Modrić,Croatia,96,80,86,99,96,85,83
30,Kevin De Bruyne,Belgium,96,85,96,98,96,58,90
31,Harry Kane,England,96,86,99,93,95,58,96
32,Ronaldo,Brazil,96,97,95,81,95,45,76
33,Sergej Milinković-Savić,Serbia,95,84,94,93,94,92,94
34,Lorenzo Insigne,Italy,95,96,90,93,97,35,70
35,Mauro Icardi,Argentina,95,90,97,78,91,40,85
36,Cristiano Ronaldo,Portugal,95,90,92,84,88,31,79
37,Timo Werner,Germany,95,98,95,89,97,40,81
38,Thomas Müller,Germany,95,88,96,98,93,58,86
39,Mats Hummels,Germany,95,75,71,90,84,97,93
40,Joshua Kimmich,Germany,95,85,84,98,95,94,90
41,Sergio Ramos,Spain,95,83,75,85,85,96,94
42,Christian Eriksen,Denmark,95,85,94,97,94,62,75
43,David Silva,Spain,95,83,90,99,97,60,75
44,Harry Kane,England,95,84,98,90,92,53,93
45,Eden Hazard,Belgium,95,94,92,93,97,37,77
46,Cristiano Ronaldo,Portugal,95,91,94,85,91,34,83
47,Luis Suárez,Uruguay,95,85,95,86,91,48,85
48,Neymar,Brazil,95,95,90,85,98,33,68
49,N'Golo Kanté,France,95,90,87,93,93,93,94
50,Lionel Messi,Argentina,95,92,93,90,98,29,65
51,Cristiano Ronaldo,Portugal,95,91,95,84,92,34,82
52,Neymar,Brazil,95,95,90,85,98,33,68
53,Pelé,Brazil,95,96,93,90,95,56,75
54,Diego Maradona,Argentina,95,88,91,90,95,42,75
55,Gareth Bale,Wales,94,99,97,92,95,61,86
56,Jonas,Brazil,94,80,97,91,95,46,80
57,Alex Telles,Brazil,94,95,82,98,92,92,88
58,Quincy Promes,Netherlands,94,97,95,92,96,42,84
59,Marco Verratti,Italy,94,76,75,97,97,88,78
60,Thiago Silva,Brazil,94,80,70,84,85,96,88
61,Florian Thauvin,France,94,93,95,94,95,50,80
62,Nabil Fekir,France,94,90,95,93,96,47,90
63,Kamil Glik,Poland,94,72,43,68,85,95,92
64,Kalidou Koulibaly,Senegal,94,83,50,70,75,95,94
65,Medhi Benatia,Morocco,94,84,60,78,82,95,92
66,Ronaldo,Brazil,94,93,93,80,93,46,80
67,Nils Petersen,Germany,94,82,95,79,90,50,87
68,Michy Batshuayi,Belgium,94,91,96,87,93,45,93
69,James Rodríguez,Colombia,94,85,94,97,94,50,83
70,Lionel Messi,Argentina,94,89,90,87,96,26,61
71,Casemiro,Brazil,94,72,82,90,88,95,94
72,Diego Godín,Uruguay,94,72,60,82,80,96,86
73,Isco,Spain,94,79,93,93,97,62,75
74,Parejo,Spain,94,70,91,97,92,88,87
