Argentina, CONMEBOL
Bolivia, CONMEBOL
Brazil, CONMEBOL
Chile, CONMEBOL
Colombia, CONMEBOL
Ecuador, CONMEBOL
Paraguay, CONMEBOL
Peru, CONMEBOL
Uruguay, CONMEBOL
Venezuela, CONMEBOL
Australia, AFC
Brunei Darussalam, AFC
Cambodia, AFC
Indonesia, AFC
Laos, AFC
Malaysia, AFC
Myanmar, AFC
Philippines, AFC
Singapore, AFC
Thailand, AFC
Timor-Leste, AFC
Vietnam, AFC
China PR, AFC
Chinese Taipei, AFC
DPR Korea, AFC
Guam, AFC
Hong Kong, AFC
Japan, AFC
Korea Republic, AFC
Macau, AFC
Mongolia, AFC
Northern Mariana Islands, AFC
Afghanistan, AFC
Islamic Republic of Iran, AFC
Kyrgyz Republic, AFC
Tajikistan, AFC
Turkmenistan, AFC
Uzbekistan, AFC
Bahrain, AFC
Iraq, AFC
Jordan, AFC
Kuwait, AFC
Lebanon, AFC
Oman, AFC
Palestine, AFC
Qatar, AFC
Saudi Arabia, AFC
Syria, AFC
UAE, AFC
Yemen, AFC
Bangladesh, AFC
Bhutan, AFC
India, AFC
Maldives, AFC
Nepal, AFC
Pakistan, AFC
Sri Lanka, AFC
American Samoa, OFC
Cook Islands, OFC
Fiji, OFC
Kiribati, OFC
New Caledonia, OFC
New Zealand, OFC
Niue, OFC
Papua New Guinea, OFC
Samoa, OFC
Solomon Islands, OFC
Tahiti, OFC
Tonga, OFC
Tuvalu, OFC
Vanuatu, OFC
Canada, CONCACAF
Mexico, CONCACAF
United States, CONCACAF
Belize, CONCACAF
Costa Rica, CONCACAF
El Salvador, CONCACAF
Guatemala, CONCACAF
Honduras, CONCACAF
Nicaragua, CONCACAF
Panama, CONCACAF
Anguilla, CONCACAF
Antigua and Barbuda, CONCACAF
Aruba, CONCACAF
Bahamas, CONCACAF
Barbados, CONCACAF
Bermuda, CONCACAF
Bonaire, CONCACAF
British Virgin Islands, CONCACAF
Cayman Islands, CONCACAF
Cuba, CONCACAF
Curaçao, CONCACAF
Dominica, CONCACAF
Dominican Republic, CONCACAF
French Guiana, CONCACAF
Grenada, CONCACAF
Guadeloupe, CONCACAF
Guyana, CONCACAF
Haiti, CONCACAF
Jamaica, CONCACAF
Martinique, CONCACAF
Montserrat, CONCACAF
Puerto Rico, CONCACAF
Saint Kitts and Nevis, CONCACAF
Saint Lucia, CONCACAF
Saint Martin, CONCACAF
Saint Vincent and the Grenadines, CONCACAF
Sint Maarten, CONCACAF
Suriname, CONCACAF
Trinidad and Tobago, CONCACAF
Turks and Caicos Islands, CONCACAF
U.S. Virgin Islands, CONCACAF
Albania, UEFA
Andorra, UEFA
Armenia, UEFA
Austria, UEFA
Azerbaijan, UEFA
Belarus, UEFA
Belgium, UEFA
Bosnia and Herzegovina, UEFA
Bulgaria, UEFA
Croatia, UEFA
Cyprus, UEFA
Czech Republic, UEFA
Denmark, UEFA
England, UEFA
Estonia, UEFA
Faroe Islands, UEFA
Finland, UEFA
France, UEFA
Macedonia, UEFA
Georgia, UEFA
Germany, UEFA
Gibraltar, UEFA
Greece, UEFA
Hungary, UEFA
Iceland, UEFA
Israel, UEFA
Italy, UEFA
Kazakhstan, UEFA
Kosovo, UEFA
Latvia, UEFA
Liechtenstein, UEFA
Lithuania, UEFA
Luxembourg, UEFA
Malta, UEFA
Moldova, UEFA
Montenegro, UEFA
Netherlands, UEFA
Northern Ireland, UEFA
Norway, UEFA
Poland, UEFA
Portugal, UEFA
Republic of Ireland, UEFA
Romania, UEFA
Russia, UEFA
San Marino, UEFA
Scotland, UEFA
Serbia, UEFA
Slovakia, UEFA
Slovenia, UEFA
Spain, UEFA
Sweden, UEFA
Switzerland, UEFA
Turkey, UEFA
Ukraine, UEFA
Wales, UEFA
Algeria, CAF
Angola, CAF
Benin, CAF
Botswana, CAF
Burkina Faso, CAF
Burundi, CAF
Cameroon, CAF
Cape Verde, CAF
Central African Republic, CAF
Chad, CAF
Comoros, CAF
Congo, CAF
DR Congo, CAF
Ivory Coast, CAF
Djibouti, CAF
Egypt, CAF
Equatorial Guinea, CAF
Eritrea, CAF
Ethiopia, CAF
Gabon, CAF
Gambia, CAF
Ghana, CAF
Guinea, CAF
Guinea-Bissau, CAF
Kenya, CAF
Lesotho, CAF
Liberia, CAF
Libya, CAF
Madagascar, CAF
Malawi, CAF
Mali, CAF
Mauritania, CAF
Mauritius, CAF
Morocco, CAF
Mozambique, CAF
Namibia, CAF
Niger, CAF
Nigeria, CAF
Réunion, CAF
Rwanda, CAF
São Tomé and Príncipe, CAF
Senegal, CAF
Seychelles, CAF
Sierra Leone, CAF
Somalia, CAF
South Africa, CAF
South Sudan, CAF
Sudan, CAF
Swaziland, CAF
Tanzania, CAF
Togo, CAF
Tunisia, CAF
Uganda, CAF
Zambia, CAF
Zanzibar, CAF
Zimbabwe, CAF


