id,date,home_team,away_team,1,X,2
0,2010-06-11,South Africa,Mexico,2.95,3.13,2.56
1,2010-06-11,Uruguay,France,3.57,3.13,2.21
2,2010-06-12,Argentina,Nigeria,1.39,4.50,9.04
3,2010-06-12,England,United States,1.51,4.10,7.00
4,2010-06-12,Korea Republic,Greece,2.71,2.99,2.89
5,2010-06-13,Algeria,Slovenia,3.71,3.12,2.14
6,2010-06-13,Germany,Australia,1.52,3.89,7.29
7,2010-06-13,Serbia,Ghana,2.01,3.22,4.03
8,2010-06-14,Italy,Paraguay,2.17,3.03,3.85
9,2010-06-14,Japan,Cameroon,3.67,3.12,2.18
10,2010-06-14,Netherlands,Denmark,1.51,3.98,7.19
11,2010-06-15,Brazil,Korea DPR,1.10,9.52,31.71
12,2010-06-15,Ivory Coast,Portugal,3.97,3.17,2.07
13,2010-06-15,New Zealand,Slovakia,7.63,3.92,1.50
14,2010-06-16,Honduras,Chile,5.77,3.46,1.70
15,2010-06-16,South Africa,Uruguay,3.35,3.02,2.38
16,2010-06-16,Spain,Switzerland,1.27,5.25,13.99
17,2010-06-17,Argentina,Korea Republic,1.51,3.85,7.51
18,2010-06-17,France,Mexico,2.09,3.14,3.92
19,2010-06-17,Greece,Nigeria,3.78,3.17,2.11
20,2010-06-18,England,Algeria,1.23,5.76,15.80
21,2010-06-18,Germany,Serbia,1.63,3.64,5.78
22,2010-06-18,Slovenia,United States,3.73,3.20,2.13
23,2010-06-19,Cameroon,Denmark,2.89,3.18,2.56
24,2010-06-19,Ghana,Australia,2.35,3.14,3.24
25,2010-06-19,Netherlands,Japan,1.44,4.14,8.81
26,2010-06-20,Brazil,Ivory Coast,1.73,3.47,5.43
27,2010-06-20,Italy,New Zealand,1.22,5.91,16.48
28,2010-06-20,Slovakia,Paraguay,3.86,3.22,2.07
29,2010-06-21,Chile,Switzerland,2.16,3.17,3.68
30,2010-06-21,Portugal,Korea DPR,1.34,4.49,10.13
31,2010-06-21,Spain,Honduras,1.11,8.74,24.07
32,2010-06-22,Greece,Argentina,7.37,4.17,1.48
33,2010-06-22,Mexico,Uruguay,3.74,1.95,3.66
34,2010-06-22,Nigeria,Korea Republic,2.94,3.29,2.46
35,2010-06-22,South Africa,France,3.52,3.45,2.10
36,2010-06-23,Australia,Serbia,4.39,3.58,1.84
37,2010-06-23,Ghana,Germany,7.75,4.32,1.45
38,2010-06-23,Slovenia,England,8.06,4.26,1.44
39,2010-06-23,United States,Algeria,1.87,3.59,4.23
40,2010-06-24,Cameroon,Netherlands,5.45,3.80,1.65
41,2010-06-24,Denmark,Japan,2.25,3.23,3.37
42,2010-06-24,Paraguay,New Zealand,1.39,4.46,9.39
43,2010-06-24,Slovakia,Italy,6.98,3.83,1.55
44,2010-06-25,Chile,Spain,6.91,4.18,1.50
45,2010-06-25,Korea DPR,Ivory Coast,9.23,4.99,1.35
46,2010-06-25,Portugal,Brazil,3.52,2.93,2.35
47,2010-06-25,Switzerland,Honduras,1.54,4.02,6.60
48,2010-06-26,Uruguay,Korea Republic,1.84,3.30,4.91
49,2010-06-26,United States,Ghana,2.41,3.09,3.22
50,2010-06-27,Argentina,Mexico,1.61,3.71,6.21
51,2010-06-27,Germany,England,2.96,3.05,2.60
52,2010-06-28,Brazil,Chile,1.53,3.82,6.92
53,2010-06-28,Netherlands,Slovakia,1.39,4.46,9.54
54,2010-06-29,Paraguay,Japan,2.19,3.15,3.63
55,2010-06-29,Spain,Portugal,1.99,3.21,4.21
56,2010-07-02,Netherlands,Brazil,4.12,3.28,1.99
57,2010-07-02,Uruguay,Ghana,1.87,3.32,4.52
58,2010-07-03,Argentina,Germany,2.31,3.26,3.20
59,2010-07-03,Paraguay,Spain,8.86,4.28,1.42
60,2010-07-06,Uruguay,Netherlands,5.64,3.54,1.69
61,2010-07-07,Germany,Spain,2.8,3.35,2.54
62,2010-07-10,Uruguay,Germany,3.91,3.65,1.92
63,2010-07-11,Netherlands,Spain,3.86,3.36,2.03
