id,away_team,date,home_team,1,X,2
0,Saudi Arabia,2018-06-14,Russia,1.46,4.34,9.07
1,Uruguay,2018-06-15,Egypt,8.36,4.10,1.52
2,IR Iran,2018-06-15,Morocco,2.23,2.98,4.16
3,Spain,2018-06-15,Portugal,4.38,3.28,2.04
4,Australia,2018-06-16,France,1.27,7.22,10.39
5,Iceland,2018-06-16,Argentina,1.33,5.43,11.27
6,Denmark,2018-06-16,Peru,3.71,3.11,2.31
7,Nigeria,2018-06-16,Croatia,1.68,3.78,6.14
8,Serbia,2018-06-17,Costa Rica,5.35,3.43,1.84
9,Mexico,2018-06-17,Germany,1.49,4.56,7.20
10,Switzerland,2018-06-17,Brazil,1.48,4.43,8.08
11,Korea Republic,2018-06-18,Sweden,2.27,3.05,3.92
12,Panama,2018-06-18,Belgium,1.22,6.79,17.78
13,England,2018-06-18,Tunisia,8.45,4.20,1.49
14,Japan,2018-06-19,Colombia,1.89,3.34,5.09
15,Senegal,2018-06-19,Poland,2.51,3.06,3.34
16,Egypt,2018-06-19,Russia,1.95,3.57,4.31
17,Morocco,2018-06-20,Portugal,1.70,3.70,6.01
18,Saudi Arabia,2018-06-20,Uruguay,1.22,6.74,18.14
19,Spain,2018-06-20,IR Iran,19.05,6.85,1.21
20,Australia,2018-06-21,Denmark,1.91,3.43,4.67
21,Peru,2018-06-21,France,1.61,3.87,6.59
22,Croatia,2018-06-21,Argentina,2.08,3.29,4.11
23,Costa Rica,2018-06-22,Brazil,1.21,6.69,18.95
24,Iceland,2018-06-22,Nigeria,2.98,3.09,2.72
25,Switzerland,2018-06-22,Serbia,2.76,3.06,2.95
26,Tunisia,2018-06-23,Belgium,1.33,5.19,12.07
27,Mexico,2018-06-23,Korea Republic,5.74,3.81,1.70
28,Sweden,2018-06-23,Germany,1.47,4.65,7.61
29,Panama,2018-06-24,England,1.22,6.47,18.64
30,Senegal,2018-06-24,Japan,3.22,2.99,2.64
31,Colombia,2018-06-24,Poland,3.50,3.46,2.21
32,Egypt,2018-06-25,Saudi Arabia,5.47,3.63,1.77
33,Russia,2018-06-25,Uruguay,2.79,3.08,2.91
34,Morocco,2018-06-25,Spain,1.36,5.17,10.27
35,Portugal,2018-06-25,IR Iran,6.40,4.09,1.60
36,Peru,2018-06-26,Australia,2.93,3.54,2.48
37,France,2018-06-26,Denmark,5.32,2.81,2.08
38,Croatia,2018-06-26,Iceland,4.44,3.99,1.82
39,Argentina,2018-06-26,Nigeria,5.98,5.27,1.50
40,Germany,2018-06-27,Korea Republic,19.39,8.39,1.17
41,Sweden,2018-06-27,Mexico,2.21,3.40,3.59
42,Costa Rica,2018-06-27,Switzerland,1.60,3.69,7.59
43,Brazil,2018-06-27,Serbia,7.59,4.68,1.47
44,Poland,2018-06-28,Japan,2.94,3.14,2.73
45,Colombia,2018-06-28,Senegal,5.19,3.81,1.76
46,Belgium,2018-06-28,England,2.47,2.84,3.72
47,Tunisia,2018-06-28,Panama,4.37,3.78,1.88
48,B2,2018-06-30,A1,3.09,2.99,2.73
49,D2,2018-06-30,C1,2.45,3.13,3.34
50,F2,2018-07-01,E1,1.48,4.48,7.76
51,H2,2018-07-01,G1,1.43,4.70,8.68
52,A2,2018-07-02,B1,1.60,4.15,6.39
53,C2,2018-07-02,D1,1.99,3.24,4.66
54,E2,2018-07-03,F1,3.43,2.96,2.53
55,G2,2018-07-03,H1,4.14,3.13,2.15
56,,2018-07-06,,4.73,3.13,2.02
57,,2018-07-06,,2.13,3.46,3.75
58,,2018-07-07,,5.23,3.40,1.85
59,,2018-07-07,,4.09,3.18,2.15
60,,2018-07-10,,2.61,3.14,3.07
61,,2018-07-11,,3.90,3.00,2.29
62,,2018-07-14,,2.21,3.83,3.23
63,,2018-07-15,,2.17,3.06,4.24
