id,date,home_team,away_team,home_score,away_score,group
0,2018-06-14,Russia,Saudi Arabia,5,0,A
1,2018-06-15,Egypt,Uruguay,0,1,A
2,2018-06-15,Morocco,IR Iran,0,1,B
3,2018-06-15,Portugal,Spain,3,3,B
4,2018-06-16,France,Australia,2,1,C
5,2018-06-16,Argentina,Iceland,1,1,D
6,2018-06-16,Peru,Denmark,0,1,C
7,2018-06-16,Croatia,Nigeria,2,0,D
8,2018-06-17,Costa Rica,Serbia,0,1,E
9,2018-06-17,Germany,Mexico,0,1,F
10,2018-06-17,Brazil,Switzerland,1,1,E
11,2018-06-18,Sweden,Korea Republic,1,0,F
12,2018-06-18,Belgium,Panama,3,0,G
13,2018-06-18,Tunisia,England,1,2,G
14,2018-06-19,Colombia,Japan,1,2,H
15,2018-06-19,Poland,Senegal,1,2,H
16,2018-06-19,Russia,Egypt,3,1,A
17,2018-06-20,Portugal,Morocco,1,0,B
18,2018-06-20,Uruguay,Saudi Arabia,1,0,A
19,2018-06-20,IR Iran,Spain,0,1,B
20,2018-06-21,Denmark,Australia,1,1,C
21,2018-06-21,France,Peru,1,0,C
22,2018-06-21,Argentina,Croatia,0,3,D
23,2018-06-22,Brazil,Costa Rica,2,0,E
24,2018-06-22,Nigeria,Iceland,2,0,D
25,2018-06-22,Serbia,Switzerland,1,2,E
26,2018-06-23,Belgium,Tunisia,5,2,G
27,2018-06-23,Korea Republic,Mexico,1,2,F
28,2018-06-23,Germany,Sweden,2,1,F
29,2018-06-24,England,Panama,6,1,G
30,2018-06-24,Japan,Senegal,2,2,H
31,2018-06-24,Poland,Colombia,0,3,H
32,2018-06-25,Saudi Arabia,Egypt,2,1,A
33,2018-06-25,Uruguay,Russia,3,0,A
34,2018-06-25,Spain,Morocco,2,2,B
35,2018-06-25,IR Iran,Portugal,1,1,B
36,2018-06-26,Australia,Peru,0,2,C
37,2018-06-26,Denmark,France,0,0,C
38,2018-06-26,Iceland,Croatia,1,2,D
39,2018-06-26,Nigeria,Argentina,1,2,D
40,2018-06-27,Korea Republic,Germany,2,0,F
41,2018-06-27,Mexico,Sweden,0,3,F
42,2018-06-27,Switzerland,Costa Rica,2,2,E
43,2018-06-27,Serbia,Brazil,0,2,E
44,2018-06-28,Japan,Poland,0,1,H
45,2018-06-28,Senegal,Colombia,0,1,H
46,2018-06-28,England,Belgium,0,1,G
47,2018-06-28,Panama,Tunisia,1,2,G
48,2018-06-30,Uruguay,Portugal,2,1,
49,2018-06-30,France,Argentina,4,3,
50,2018-07-01,Brazil,Mexico,2,0,
51,2018-07-01,Belgium,Japan,3,2,
52,2018-07-02,Spain,Russia,1,1,
53,2018-07-02,Croatia,Denmark,1,1,
54,2018-07-03,Sweden,Switzerland,1,0,
55,2018-07-03,Colombia,England,1,1,
56,2018-07-06,Uruguay,France,0,2,
57,2018-07-06,Brazil,Belgium,1,2,
58,2018-07-07,Russia,Croatia,2,2,
59,2018-07-07,Sweden,England,0,2,
60,2018-07-10,France,Belgium,1,0,
61,2018-07-11,Croatia,England,1,1,
62,2018-07-14,Belgium,England,2,0,
63,2018-07-15,France,Croatia,4,2,
