,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.7117541960176262,0.5614109147638574
1,3.0,log2,1,0.7092216593372811,0.5631012270005554
2,3.0,sqrt,3,0.7113324778670373,0.5616346616741577
3,3.0,log2,3,0.7090109116508272,0.5631248295516946
4,3.0,sqrt,5,0.7106991209192698,0.561392374742635
5,3.0,log2,5,0.7090109116508272,0.5628409640187574
6,3.0,sqrt,10,0.7113320323116749,0.5610643082005372
7,3.0,log2,10,0.708799718409011,0.562655194591497
8,3.0,sqrt,15,0.7119649437040799,0.5613557693948505
9,3.0,log2,15,0.7087994956313296,0.5628905536990331
10,5.0,sqrt,1,0.7163966601170029,0.5543469520510729
11,5.0,log2,1,0.7147086736262415,0.5555416156840902
12,5.0,sqrt,3,0.7153418077963277,0.554242834957931
13,5.0,log2,3,0.7155523327051003,0.5555012883285976
14,5.0,sqrt,5,0.7153418077963278,0.5543080387956703
15,5.0,log2,5,0.7147077825155164,0.5552521880407828
16,5.0,sqrt,10,0.7144977031621064,0.5541669267294378
17,5.0,log2,10,0.71386456899202,0.5555157484416704
18,5.0,sqrt,15,0.7163971056723654,0.554210353075632
19,5.0,log2,15,0.7151301689991489,0.5554180231126716
20,8.0,sqrt,1,0.7142874010310152,0.5550779309872164
21,8.0,log2,1,0.7149205352011014,0.5555471745269009
22,8.0,sqrt,3,0.7170311309531765,0.5544980840701521
23,8.0,log2,3,0.7170309081754954,0.5548410142243576
24,8.0,sqrt,5,0.7151319512205989,0.5543874455924895
25,8.0,log2,5,0.7161859124305492,0.5547468388994325
26,8.0,sqrt,10,0.7163975512277279,0.5530789668846252
27,8.0,log2,10,0.7170311309531765,0.5539809889305055
28,8.0,sqrt,15,0.7168190466006353,0.552969282974365
29,8.0,log2,15,0.7161870263189553,0.5542008908919683
30,12.0,sqrt,1,0.7134439647298374,0.5632583993070199
31,12.0,log2,1,0.7113324778670373,0.5632026464198665
32,12.0,sqrt,3,0.7147093419592851,0.559610043345294
33,12.0,log2,3,0.7138659056581076,0.5599746243956
34,12.0,sqrt,5,0.7140750939007926,0.5581574296683108
35,12.0,log2,5,0.7151319512205989,0.5582517434224123
36,12.0,sqrt,10,0.7170306853978141,0.5554272255458206
37,12.0,log2,10,0.7159751647440953,0.5555311760237501
38,12.0,sqrt,15,0.7157644170576416,0.5540458546625392
39,12.0,log2,15,0.7174524035484029,0.554706055373647
40,,sqrt,1,0.7085903073886446,0.5698891079370998
41,,log2,1,0.7071124002512932,0.5702951835111689
42,,sqrt,3,0.71217680527894,0.5634281882088944
43,,log2,3,0.7102767344356373,0.5631741923288114
44,,sqrt,5,0.7125991917625725,0.5596243578977045
45,,log2,5,0.7121765825012587,0.5593823634924341
46,,sqrt,10,0.7161861352082303,0.5556817091761532
47,,log2,10,0.7159753875217765,0.5560778857086283
48,,sqrt,15,0.7161863579859116,0.5543855084682392
49,,log2,15,0.716186803541274,0.555048650113436
