,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.764090242783117,0.534794449441769
1,3.0,log2,1,0.764090242783117,0.5351124456342162
2,3.0,sqrt,3,0.764090242783117,0.5346866091845028
3,3.0,log2,3,0.764090242783117,0.5351699277862112
4,3.0,sqrt,5,0.764090242783117,0.5346525128583892
5,3.0,log2,5,0.764090242783117,0.5349752183449248
6,3.0,sqrt,10,0.764090242783117,0.5345600814187228
7,3.0,log2,10,0.764090242783117,0.5348405331404142
8,3.0,sqrt,15,0.764090242783117,0.5343908014394615
9,3.0,log2,15,0.764090242783117,0.534732485308652
10,5.0,sqrt,1,0.764090242783117,0.5334153294074497
11,5.0,log2,1,0.764090242783117,0.5336673704812352
12,5.0,sqrt,3,0.764090242783117,0.5333150809363071
13,5.0,log2,3,0.764090242783117,0.5335065348513772
14,5.0,sqrt,5,0.764090242783117,0.5332875409393555
15,5.0,log2,5,0.764090242783117,0.533462497132491
16,5.0,sqrt,10,0.764090242783117,0.5330730700731557
17,5.0,log2,10,0.764090242783117,0.5334007026532345
18,5.0,sqrt,15,0.764090242783117,0.5331100729360359
19,5.0,log2,15,0.764090242783117,0.5333212317783659
20,8.0,sqrt,1,0.764090242783117,0.5346498734274687
21,8.0,log2,1,0.764090242783117,0.5343799340347899
22,8.0,sqrt,3,0.764090242783117,0.5340499938927689
23,8.0,log2,3,0.764090242783117,0.5339685174566975
24,8.0,sqrt,5,0.764090242783117,0.5335998209751462
25,8.0,log2,5,0.764090242783117,0.5337332018988891
26,8.0,sqrt,10,0.764090242783117,0.5331206940366849
27,8.0,log2,10,0.764090242783117,0.5335197251552132
28,8.0,sqrt,15,0.764090242783117,0.5329713020388965
29,8.0,log2,15,0.764090242783117,0.5332158824072201
30,12.0,sqrt,1,0.7632463609265769,0.5374303679437109
31,12.0,log2,1,0.763668301854847,0.5373260975885628
32,12.0,sqrt,3,0.763879272318982,0.536578243206035
33,12.0,log2,3,0.7640904655607983,0.5359093394664288
34,12.0,sqrt,5,0.764090242783117,0.5357462210087244
35,12.0,log2,5,0.764090242783117,0.5356270887075215
36,12.0,sqrt,10,0.764090242783117,0.5345207458763893
37,12.0,log2,10,0.764090242783117,0.5345397930635268
38,12.0,sqrt,15,0.764090242783117,0.5342492055717669
39,12.0,log2,15,0.764090242783117,0.5339886171149908
40,,sqrt,1,0.759449338127509,0.5476191937839611
41,,log2,1,0.759660308591644,0.5469345317068536
42,,sqrt,3,0.7615592655465404,0.5417989990403802
43,,log2,3,0.7617702360106755,0.5416264939267069
44,,sqrt,5,0.7634577769460745,0.5391100382948244
45,,log2,5,0.7632468064819394,0.5388593057180545
46,,sqrt,10,0.764090242783117,0.5364404311290862
47,,log2,10,0.764090242783117,0.5362320392070681
48,,sqrt,15,0.764090242783117,0.5352336669993137
49,,log2,15,0.764090242783117,0.5350632697649882
