,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.7189276373535793,0.5503978406185324
1,3.0,log2,1,0.7170289031763643,0.5516695649486045
2,3.0,sqrt,3,0.7176620373464505,0.5504943184579466
3,3.0,log2,3,0.7161850213198241,0.5519326332288621
4,3.0,sqrt,5,0.7163962145616403,0.5503632699852516
5,3.0,log2,5,0.7159733825226453,0.5518761701321461
6,3.0,sqrt,10,0.7170289031763643,0.5500733637534035
7,3.0,log2,10,0.7180835327193581,0.5514885402551783
8,3.0,sqrt,15,0.717872562255223,0.550311595970434
9,3.0,log2,15,0.7178727850329043,0.5515572648837702
10,5.0,sqrt,1,0.7233586854334585,0.5437318705468498
11,5.0,log2,1,0.7225145807992372,0.5447239590626176
12,5.0,sqrt,3,0.7220926398709672,0.5436745030153564
13,5.0,log2,3,0.721037787550292,0.5445573772590521
14,5.0,sqrt,5,0.7227259968187347,0.5436322876219295
15,5.0,log2,5,0.722092417093286,0.5446177493999407
16,5.0,sqrt,10,0.7244142060871774,0.5435051892697891
17,5.0,log2,10,0.7214599512562433,0.544560773819482
18,5.0,sqrt,15,0.7218823377398759,0.5432653514860197
19,5.0,log2,15,0.7218821149621947,0.5444682375736933
20,8.0,sqrt,1,0.7231492744130923,0.5430238827704592
21,8.0,log2,1,0.723360022099546,0.5435752261588058
22,8.0,sqrt,3,0.7242036811784047,0.543101825585681
23,8.0,log2,3,0.7204055444909307,0.5434714192091932
24,8.0,sqrt,5,0.7227268879294597,0.5428038607289226
25,8.0,log2,5,0.7229378583935946,0.5433639567959292
26,8.0,sqrt,10,0.7225156946876434,0.5426777249815447
27,8.0,log2,10,0.7212487580144271,0.5430625756507674
28,8.0,sqrt,15,0.7246251765513123,0.5422842332010325
29,8.0,log2,15,0.721459728478562,0.5431365243287029
30,12.0,sqrt,1,0.7163966601170028,0.5488908499874718
31,12.0,log2,1,0.7172405419735429,0.5494759900644665
32,12.0,sqrt,3,0.7166051800266443,0.5468995196436108
33,12.0,log2,3,0.7180846466077643,0.5473861579398458
34,12.0,sqrt,5,0.7172392053074554,0.5459169375118652
35,12.0,log2,5,0.7178727850329043,0.5460607092536724
36,12.0,sqrt,10,0.7187162213340818,0.5441513500837155
37,12.0,log2,10,0.7180848693854456,0.5444417022553008
38,12.0,sqrt,15,0.7216713672757409,0.5434908703980275
39,12.0,log2,15,0.7233600220995461,0.5440338265097896
40,,sqrt,1,0.7149171935358829,0.5549339681736312
41,,log2,1,0.7142871782533339,0.5552926005656735
42,,sqrt,3,0.7161852440975053,0.5500286760275048
43,,log2,3,0.7185052508699468,0.5500782453916189
44,,sqrt,5,0.716394877895553,0.5474671928827566
45,,log2,5,0.7180830871639955,0.5475720090230326
46,,sqrt,10,0.7191397217061206,0.5444355860869209
47,,log2,10,0.7197721875431631,0.5450265572623767
48,,sqrt,15,0.7220933082040109,0.5436476658411452
49,,log2,15,0.721460619589287,0.5441304481731514
