,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.7166076305811379,0.5579741476451862
1,3.0,log2,1,0.7149187529796515,0.5589726511185551
2,3.0,sqrt,3,0.7153418077963278,0.5579871881203612
3,3.0,log2,3,0.714707336960154,0.5596260852678558
4,3.0,sqrt,5,0.7155527782604628,0.5578382394326856
5,3.0,log2,5,0.7149178618689266,0.5593049879109124
6,3.0,sqrt,10,0.7161850213198242,0.5577323330130726
7,3.0,log2,10,0.7155516643720565,0.5593077280956564
8,3.0,sqrt,15,0.7176624829018129,0.557679416455091
9,3.0,log2,15,0.7144968120513815,0.5593570726283714
10,5.0,sqrt,1,0.7182962854049431,0.550516077752427
11,5.0,log2,1,0.7187180035555318,0.5519896264062005
12,5.0,sqrt,3,0.7187182263332129,0.550460140074154
13,5.0,log2,3,0.7176629284571755,0.551685044240519
14,5.0,sqrt,5,0.718085314940808,0.5502479332344038
15,5.0,log2,5,0.7176629284571755,0.5512817109349203
16,5.0,sqrt,10,0.7180850921631268,0.5499018059289834
17,5.0,log2,10,0.7163968828946841,0.5512080392814822
18,5.0,sqrt,15,0.7163968828946841,0.5500327406195725
19,5.0,log2,15,0.7170300170647705,0.5516156572110541
20,8.0,sqrt,1,0.7155541149265503,0.5517794814199766
21,8.0,log2,1,0.7166082989141815,0.5517765715713507
22,8.0,sqrt,3,0.7182965081826242,0.5508900209278418
23,8.0,log2,3,0.7180855377184892,0.5511210750348516
24,8.0,sqrt,5,0.7178752355873979,0.5496813260682162
25,8.0,log2,5,0.7178745672543542,0.5502946050260417
26,8.0,sqrt,10,0.7166085216918627,0.5490787111639117
27,8.0,log2,10,0.7180850921631269,0.5496416597132819
28,8.0,sqrt,15,0.7159753875217765,0.5485718737806854
29,8.0,log2,15,0.7174515124376779,0.5496892019978894
30,12.0,sqrt,1,0.7128099394490263,0.5587537996289009
31,12.0,log2,1,0.7111226212913084,0.5590765179366188
32,12.0,sqrt,3,0.7132329942657025,0.555286529347723
33,12.0,log2,3,0.714499262605875,0.5551627276883627
34,12.0,sqrt,5,0.7151312828875552,0.5530366557123123
35,12.0,log2,5,0.7138656828804264,0.5534319647122896
36,12.0,sqrt,10,0.7161872490966366,0.5502221244762671
37,12.0,log2,10,0.7151315056652364,0.5507838375385156
38,12.0,sqrt,15,0.7149207579787827,0.5496394086571049
39,12.0,log2,15,0.7136538213055663,0.5503236995131012
40,,sqrt,1,0.7094321842460535,0.5656881506178342
41,,log2,1,0.7117548643506699,0.5655213039188738
42,,sqrt,3,0.7132341081541087,0.5577632933951124
43,,log2,3,0.7119662803701674,0.5577783416751613
44,,sqrt,5,0.7147095647369663,0.5542659661750579
45,,log2,5,0.7128108305597511,0.5548420107571923
46,,sqrt,10,0.7166091900249065,0.5507675603801327
47,,log2,10,0.7140762077891989,0.5510480500636212
48,,sqrt,15,0.714498148717469,0.5496101262815963
49,,log2,15,0.7136540440832475,0.5502272180020646
