,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.764090242783117,0.5348874708575908
1,3.0,log2,1,0.764090242783117,0.5352112336413388
2,3.0,sqrt,3,0.764090242783117,0.5348436047819018
3,3.0,log2,3,0.764090242783117,0.5352068986549027
4,3.0,sqrt,5,0.764090242783117,0.5347358515779133
5,3.0,log2,5,0.764090242783117,0.5351223779814409
6,3.0,sqrt,10,0.764090242783117,0.5346481189705392
7,3.0,log2,10,0.764090242783117,0.5349720494932022
8,3.0,sqrt,15,0.764090242783117,0.5346208409658109
9,3.0,log2,15,0.764090242783117,0.5349327393177941
10,5.0,sqrt,1,0.764090242783117,0.533479605125737
11,5.0,log2,1,0.764090242783117,0.5338200335911323
12,5.0,sqrt,3,0.764090242783117,0.5334309511186133
13,5.0,log2,3,0.764090242783117,0.5337820168627128
14,5.0,sqrt,5,0.764090242783117,0.5333995482101679
15,5.0,log2,5,0.764090242783117,0.5335457111017906
16,5.0,sqrt,10,0.764090242783117,0.5333038709205566
17,5.0,log2,10,0.764090242783117,0.5334743045808391
18,5.0,sqrt,15,0.764090242783117,0.5333033314898863
19,5.0,log2,15,0.764090242783117,0.5334727513199046
20,8.0,sqrt,1,0.764090242783117,0.5340093516942372
21,8.0,log2,1,0.764090242783117,0.5342461187227248
22,8.0,sqrt,3,0.764090242783117,0.5341334810059507
23,8.0,log2,3,0.764090242783117,0.5341596469606451
24,8.0,sqrt,5,0.764090242783117,0.5338873402942279
25,8.0,log2,5,0.764090242783117,0.5339553260070729
26,8.0,sqrt,10,0.764090242783117,0.5335335154319021
27,8.0,log2,10,0.764090242783117,0.5335949318270561
28,8.0,sqrt,15,0.764090242783117,0.5334378621689763
29,8.0,log2,15,0.764090242783117,0.5336805635940448
30,12.0,sqrt,1,0.7640904655607983,0.5372801500294035
31,12.0,log2,1,0.7636685246325282,0.5366496416869337
32,12.0,sqrt,3,0.764090242783117,0.5358760979700465
33,12.0,log2,3,0.764090242783117,0.5360073770847583
34,12.0,sqrt,5,0.764090242783117,0.5353048432131431
35,12.0,log2,5,0.764090242783117,0.5355301213858394
36,12.0,sqrt,10,0.764090242783117,0.5349429425037159
37,12.0,log2,10,0.764090242783117,0.5347472726968475
38,12.0,sqrt,15,0.764090242783117,0.5340644776839477
39,12.0,log2,15,0.764090242783117,0.534432331907705
40,,sqrt,1,0.7605039676705029,0.5452933226975356
41,,log2,1,0.760925908598773,0.5446736640606756
42,,sqrt,3,0.7626141178672157,0.5402563808333232
43,,log2,3,0.7628250883313505,0.5400554499524993
44,,sqrt,5,0.7643018815802958,0.5379350214098738
45,,log2,5,0.7643018815802958,0.5381529988958949
46,,sqrt,10,0.7643014360249334,0.5360737933453246
47,,log2,10,0.7643014360249333,0.5356828195553093
48,,sqrt,15,0.764090242783117,0.5347673698310262
49,,log2,15,0.764090242783117,0.5351703862083751
