,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.7204033167141184,0.5536994884658186
1,3.0,log2,1,0.7201925690276645,0.5549862391047827
2,3.0,sqrt,3,0.7195598804129408,0.5536746839883573
3,3.0,log2,3,0.7193491327264869,0.5551009919700857
4,3.0,sqrt,5,0.7199815985635296,0.5533793995593012
5,3.0,log2,5,0.7187157757787194,0.554811164041497
6,3.0,sqrt,10,0.7185045825369032,0.5532532700137309
7,3.0,log2,10,0.7191379394846706,0.554892803696009
8,3.0,sqrt,15,0.7178712255891355,0.5535760610853341
9,3.0,log2,15,0.7193482416157619,0.5549998071368932
10,5.0,sqrt,1,0.722936298949826,0.5466482145793531
11,5.0,log2,1,0.7216689167212472,0.5475930639929902
12,5.0,sqrt,3,0.7254679445194463,0.5464428157839919
13,5.0,log2,3,0.723357348767371,0.5475856853034518
14,5.0,sqrt,5,0.7242021217346362,0.5464540069362547
15,5.0,log2,5,0.7216693622766097,0.5475368712415074
16,5.0,sqrt,10,0.7235689875645499,0.5462148633547953
17,5.0,log2,10,0.7218805555184259,0.5471979167633348
18,5.0,sqrt,15,0.7246242854405873,0.5461115054512968
19,5.0,log2,15,0.7220910804271985,0.547160092750215
20,8.0,sqrt,1,0.7239904829374574,0.5454433191597097
21,8.0,log2,1,0.7235685420091873,0.5458296409282977
22,8.0,sqrt,3,0.7239913740481824,0.5452676063309163
23,8.0,log2,3,0.7225141352438748,0.5453142728135241
24,8.0,sqrt,5,0.7239900373820949,0.5447778320610246
25,8.0,log2,5,0.722513466910831,0.5452221322930427
26,8.0,sqrt,10,0.7220919715379234,0.5444442891978729
27,8.0,log2,10,0.7223031647797397,0.5450987953275831
28,8.0,sqrt,15,0.7223027192243772,0.5447971007292265
29,8.0,log2,15,0.7231466010809173,0.5450717935299769
30,12.0,sqrt,1,0.7168165960461417,0.5496890853195188
31,12.0,log2,1,0.7178730078105856,0.5495697945948287
32,12.0,sqrt,3,0.7170273437325954,0.5480562948478547
33,12.0,log2,3,0.7176602551250004,0.5479502069357238
34,12.0,sqrt,5,0.7187153302233569,0.5471825217877578
35,12.0,log2,5,0.7193482416157619,0.5470756617853694
36,12.0,sqrt,10,0.7199818213412108,0.5458215629381407
37,12.0,log2,10,0.7212478669037021,0.5459007334196853
38,12.0,sqrt,15,0.7225145807992371,0.5453791217006784
39,12.0,log2,15,0.7214599512562432,0.5459356698793563
40,,sqrt,1,0.7121745775021275,0.5542665224969798
41,,log2,1,0.7153406939079214,0.5547738529688621
42,,sqrt,3,0.7176595867919568,0.5496552258029667
43,,log2,3,0.716605848359688,0.5502431818170048
44,,sqrt,5,0.7201934601383895,0.5478546362996156
45,,log2,5,0.7172387597520931,0.5481765146516017
46,,sqrt,10,0.7187155530010381,0.5457709237381373
47,,log2,10,0.7199824896742545,0.5465145817133459
48,,sqrt,15,0.7208263715307945,0.5452532968866473
49,,log2,15,0.7212483124590646,0.545628593447193
