,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.7157628576138728,0.5575726571378976
1,3.0,log2,1,0.7157628576138728,0.5575726571378975
2,3.0,sqrt,3,0.7155521099274191,0.5574732367595561
3,3.0,log2,3,0.7155521099274191,0.5574663643409004
4,3.0,sqrt,5,0.7157628576138728,0.5576377050232211
5,3.0,log2,5,0.7147080052931978,0.557797970559817
6,3.0,sqrt,10,0.7147077825155164,0.5577216079561229
7,3.0,log2,10,0.7163964373393216,0.557458715186632
8,3.0,sqrt,15,0.7155523327051003,0.557493456833251
9,3.0,log2,15,0.7157633031692353,0.5574017554331284
10,5.0,sqrt,1,0.7149194213126953,0.549176209881429
11,5.0,log2,1,0.7147082280708791,0.549245717198225
12,5.0,sqrt,3,0.715341139463284,0.5492027873184988
13,5.0,log2,3,0.7166069622480942,0.5491665851096112
14,5.0,sqrt,5,0.7155525554827815,0.5490283574721082
15,5.0,log2,5,0.7157633031692353,0.5490765068947134
16,5.0,sqrt,10,0.7174512896599967,0.5490221163925189
17,5.0,log2,10,0.717873453365948,0.5491654529685669
18,5.0,sqrt,15,0.7163966601170028,0.5490984113283199
19,5.0,log2,15,0.7163959917839591,0.5491232048027241
20,8.0,sqrt,1,0.7125967412080788,0.5505785850913713
21,8.0,log2,1,0.7125965184303975,0.5507678158354887
22,8.0,sqrt,3,0.7134415141753438,0.5503451803615794
23,8.0,log2,3,0.7128079344498951,0.5504257539100454
24,8.0,sqrt,5,0.7142853960318839,0.5503313742698983
25,8.0,log2,5,0.714707336960154,0.550354063579869
26,8.0,sqrt,10,0.714707336960154,0.5499719451918957
27,8.0,log2,10,0.7151295006661053,0.5500935138578706
28,8.0,sqrt,15,0.7140739800123864,0.5499826522292628
29,8.0,log2,15,0.7149178618689266,0.5501284775817077
30,12.0,sqrt,1,0.706056434042212,0.5597260355289942
31,12.0,log2,1,0.7056336020032169,0.5598842683380681
32,12.0,sqrt,3,0.7096436002655511,0.5575365787834199
33,12.0,log2,3,0.7094324070237348,0.5575622902916352
34,12.0,sqrt,5,0.7128092711159827,0.5563241034058255
35,12.0,log2,5,0.7128092711159825,0.5555304501993231
36,12.0,sqrt,10,0.7142865099202902,0.5532886517052724
37,12.0,log2,10,0.7142865099202902,0.553730141052366
38,12.0,sqrt,15,0.7136522618617976,0.5517375209066827
39,12.0,log2,15,0.7136522618617976,0.5519943573188674
40,,sqrt,1,0.6997264290074363,0.5733256374031865
41,,log2,1,0.7016242720739265,0.5734471573716027
42,,sqrt,3,0.7039467294008618,0.5638121944583567
43,,log2,3,0.7035245656949105,0.5635679158993161
44,,sqrt,5,0.7083771091476971,0.5594165659188951
45,,log2,5,0.7090104660954647,0.5589681651540309
46,,sqrt,10,0.7136535985278851,0.5543881345715204
47,,log2,10,0.7119651664817612,0.5543386072761033
48,,sqrt,15,0.7125976323188038,0.5520694486537495
49,,log2,15,0.7132312120442525,0.5520587072767745
