,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.764090242783117,0.5323545222417434
1,3.0,log2,1,0.764090242783117,0.5323545222417435
2,3.0,sqrt,3,0.764090242783117,0.5323562283742221
3,3.0,log2,3,0.764090242783117,0.5323908002400233
4,3.0,sqrt,5,0.764090242783117,0.5322599079761255
5,3.0,log2,5,0.764090242783117,0.5322218404440624
6,3.0,sqrt,10,0.764090242783117,0.5320913471171042
7,3.0,log2,10,0.764090242783117,0.5321404726066721
8,3.0,sqrt,15,0.764090242783117,0.5320473116627369
9,3.0,log2,15,0.764090242783117,0.5320634787231577
10,5.0,sqrt,1,0.764090242783117,0.5301525910025667
11,5.0,log2,1,0.764090242783117,0.5301967203838001
12,5.0,sqrt,3,0.764090242783117,0.5298978693145118
13,5.0,log2,3,0.764090242783117,0.5298750500895215
14,5.0,sqrt,5,0.764090242783117,0.5298337375143587
15,5.0,log2,5,0.764090242783117,0.5298190081059132
16,5.0,sqrt,10,0.764090242783117,0.5297395093112159
17,5.0,log2,10,0.764090242783117,0.5296482006991994
18,5.0,sqrt,15,0.764090242783117,0.5295909760306722
19,5.0,log2,15,0.764090242783117,0.5295634591543597
20,8.0,sqrt,1,0.764090242783117,0.5300772472216556
21,8.0,log2,1,0.764090242783117,0.5303119115066403
22,8.0,sqrt,3,0.764090242783117,0.530024617591632
23,8.0,log2,3,0.764090242783117,0.5300854290207649
24,8.0,sqrt,5,0.764090242783117,0.5297698403528296
25,8.0,log2,5,0.764090242783117,0.5297152086264869
26,8.0,sqrt,10,0.764090242783117,0.5295351193418465
27,8.0,log2,10,0.764090242783117,0.5296557609246731
28,8.0,sqrt,15,0.764090242783117,0.5294787736801059
29,8.0,log2,15,0.764090242783117,0.5293145735723026
30,12.0,sqrt,1,0.7630351676847607,0.5340669669349379
31,12.0,log2,1,0.7630351676847607,0.5342741923076361
32,12.0,sqrt,3,0.7632463609265769,0.533232105641557
33,12.0,log2,3,0.763457331390712,0.5332315365406168
34,12.0,sqrt,5,0.7632463609265769,0.5323095400690186
35,12.0,log2,5,0.7632463609265769,0.5322877592398987
36,12.0,sqrt,10,0.764090242783117,0.5312283177421093
37,12.0,log2,10,0.764090242783117,0.5312818216605217
38,12.0,sqrt,15,0.764090242783117,0.5305247793821356
39,12.0,log2,15,0.764090242783117,0.5305429370879797
40,,sqrt,1,0.753539046244191,0.5499153793365787
41,,log2,1,0.7550160622708175,0.5499370969878954
42,,sqrt,3,0.7602923288733241,0.5415779065901527
43,,log2,3,0.7605032993374591,0.5414919345660039
44,,sqrt,5,0.7634577769460744,0.5375782630017956
45,,log2,5,0.7628246427759882,0.5375173506439842
46,,sqrt,10,0.7632463609265769,0.5335195345346381
47,,log2,10,0.763668301854847,0.5334704986011951
48,,sqrt,15,0.763668301854847,0.5318669470919781
49,,log2,15,0.763668301854847,0.5319298741641131
