,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.7189242956883607,0.5509619073095029
1,3.0,log2,1,0.7189242956883607,0.5509619073095029
2,3.0,sqrt,3,0.7187135480019069,0.5506816430079938
3,3.0,log2,3,0.7176586956812319,0.5505601153047502
4,3.0,sqrt,5,0.7178694433676857,0.5505321767913678
5,3.0,log2,5,0.7178694433676857,0.550607397763667
6,3.0,sqrt,10,0.7180804138318206,0.5506959242111666
7,3.0,log2,10,0.7180804138318206,0.5506959242111666
8,3.0,sqrt,15,0.7187139935572694,0.5505755689080128
9,3.0,log2,15,0.7180806366095018,0.5504793851978039
10,5.0,sqrt,1,0.7233560121012836,0.541944900009168
11,5.0,log2,1,0.7235667597877373,0.5420618877368087
12,5.0,sqrt,3,0.7227228779311974,0.5417621309197027
13,5.0,log2,3,0.7227231007088787,0.541889398167137
14,5.0,sqrt,5,0.7223013825582898,0.5420409965881701
15,5.0,log2,5,0.7231450416371487,0.5420039996781887
16,5.0,sqrt,10,0.7218785505192947,0.5419894268748514
17,5.0,log2,10,0.7216678028328409,0.5420251126395166
18,5.0,sqrt,15,0.7227222095981537,0.5419506303103858
19,5.0,log2,15,0.7220892982057485,0.5419127279375381
20,8.0,sqrt,1,0.722511684689381,0.5417274379404744
21,8.0,log2,1,0.7223009370029272,0.5416879354665773
22,8.0,sqrt,3,0.7204022028257121,0.5414894674639957
23,8.0,log2,3,0.7212460846822522,0.5415401339181325
24,8.0,sqrt,5,0.7208234754209384,0.5413535454097216
25,8.0,log2,5,0.7197681775449007,0.5415724126727762
26,8.0,sqrt,10,0.7199795935643983,0.5413237418460941
27,8.0,log2,10,0.7218783277416135,0.541298053394431
28,8.0,sqrt,15,0.7204022028257121,0.5415542938240734
29,8.0,log2,15,0.7214563868133435,0.5412865464130134
30,12.0,sqrt,1,0.7193471277273558,0.5480184584701804
31,12.0,log2,1,0.7204024256033934,0.5479927659449049
32,12.0,sqrt,3,0.7223009370029272,0.5461492249417664
33,12.0,log2,3,0.7225121302447436,0.5462391385165665
34,12.0,sqrt,5,0.7218792188523385,0.5449874954676306
35,12.0,log2,5,0.7206133960675284,0.5451463804649268
36,12.0,sqrt,10,0.7248330281279101,0.543259678997008
37,12.0,log2,10,0.724622057663775,0.5435482414103402
38,12.0,sqrt,15,0.7239893690490511,0.5425783328684195
39,12.0,log2,15,0.7204015344926683,0.542589528457943
40,,sqrt,1,0.7153364611319779,0.5618168202419219
41,,log2,1,0.7130157860264926,0.5620244534934595
42,,sqrt,3,0.7185023547600908,0.5493429407780941
43,,log2,3,0.7189242956883607,0.549354821858952
44,,sqrt,5,0.7216673572774785,0.5465807168695997
45,,log2,5,0.7216666889444348,0.5466721552510504
46,,sqrt,10,0.7231448188594675,0.5440782643965697
47,,log2,10,0.7246227259968189,0.543958286324405
48,,sqrt,15,0.7225125758001061,0.5425793853499041
49,,log2,15,0.7220899665387923,0.5428172883695876
