,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.6993069386336599,0.5731326947770059
1,3.0,log2,1,0.6988834382616212,0.5736325305271551
2,3.0,sqrt,3,0.6988843293723462,0.573008229920506
3,3.0,log2,3,0.6984614973333512,0.5733662553952803
4,3.0,sqrt,5,0.6997282112288863,0.5729903397831588
5,3.0,log2,5,0.7001499293794751,0.5734315941370005
6,3.0,sqrt,10,0.6990950770587998,0.5731255991151201
7,3.0,log2,10,0.6993058247452537,0.573489060193111
8,3.0,sqrt,15,0.6988836610393024,0.573020516113141
9,3.0,log2,15,0.7003606770659287,0.5734565311982236
10,5.0,sqrt,1,0.7020486635566903,0.5697223212995499
11,5.0,log2,1,0.702470381707279,0.5699233004875657
12,5.0,sqrt,3,0.702259411243144,0.569762329760699
13,5.0,log2,3,0.70057097919702,0.5700520784790705
14,5.0,sqrt,5,0.7016264998507389,0.569859482484692
15,5.0,log2,5,0.7009931429029714,0.5698894525469549
16,5.0,sqrt,10,0.702682243282139,0.5695212602535615
17,5.0,log2,10,0.7014148610535601,0.5696347881649226
18,5.0,sqrt,15,0.7022605251315502,0.569464587543063
19,5.0,log2,15,0.7024699361519166,0.5696554976101635
20,8.0,sqrt,1,0.7012056728108751,0.5715458855624466
21,8.0,log2,1,0.6986738044635736,0.5712674148692742
22,8.0,sqrt,3,0.701417311608054,0.5708893378397859
23,8.0,log2,3,0.70057276141847,0.5707051921818056
24,8.0,sqrt,5,0.700995593457465,0.5703846979136618
25,8.0,log2,5,0.7035265706940417,0.5705519682431291
26,8.0,sqrt,10,0.6990964137248874,0.5697357690440679
27,8.0,log2,10,0.7024717183733664,0.5695320814822573
28,8.0,sqrt,15,0.7001503749348376,0.5695215579409162
29,8.0,log2,15,0.7028943276346803,0.5694569064160736
30,12.0,sqrt,1,0.6957195496326396,0.5787440884580786
31,12.0,log2,1,0.695085301574147,0.5786219877341077
32,12.0,sqrt,3,0.6959298517637309,0.5761329241512846
33,12.0,log2,3,0.6961412677832284,0.5751404279665872
34,12.0,sqrt,5,0.6969849268620874,0.5740317467913364
35,12.0,log2,5,0.6948749994430559,0.5735215757357786
36,12.0,sqrt,10,0.6976187293652172,0.571444972103953
37,12.0,log2,10,0.6980406702934874,0.5709982852091454
38,12.0,sqrt,15,0.698041338626531,0.5704472483788375
39,12.0,log2,15,0.6995172407647513,0.5699934933757873
40,,sqrt,1,0.6919207446121217,0.5870354467597642
41,,log2,1,0.6938197015670182,0.586035459887135
42,,sqrt,3,0.6940308948088345,0.5788756509569669
43,,log2,3,0.6948756677760995,0.5778830512370453
44,,sqrt,5,0.6978288087186273,0.5757999587301483
45,,log2,5,0.6944528357371045,0.5746993888212668
46,,sqrt,10,0.696985595195131,0.5724468382135915
47,,log2,10,0.6988843293723461,0.5714644461836916
48,,sqrt,15,0.6982516407576224,0.5703362251636273
49,,log2,15,0.6984628339994386,0.5701651939052705
