,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.764090242783117,0.5394666561373783
1,3.0,log2,1,0.764090242783117,0.5393213296140656
2,3.0,sqrt,3,0.764090242783117,0.5394595367044183
3,3.0,log2,3,0.764090242783117,0.5393901508295768
4,3.0,sqrt,5,0.764090242783117,0.5394125831430567
5,3.0,log2,5,0.764090242783117,0.5393733185239162
6,3.0,sqrt,10,0.764090242783117,0.5393148801889638
7,3.0,log2,10,0.764090242783117,0.5393020373852967
8,3.0,sqrt,15,0.764090242783117,0.539259186590626
9,3.0,log2,15,0.764090242783117,0.5392029877002329
10,5.0,sqrt,1,0.764090242783117,0.5396648756788098
11,5.0,log2,1,0.764090242783117,0.5395833374311766
12,5.0,sqrt,3,0.764090242783117,0.539668484944292
13,5.0,log2,3,0.764090242783117,0.5394991989588771
14,5.0,sqrt,5,0.764090242783117,0.5397985352585353
15,5.0,log2,5,0.764090242783117,0.5396178202457236
16,5.0,sqrt,10,0.764090242783117,0.5395507432142548
17,5.0,log2,10,0.764090242783117,0.5393359784343541
18,5.0,sqrt,15,0.764090242783117,0.5393590264504257
19,5.0,log2,15,0.764090242783117,0.5391992065455047
20,8.0,sqrt,1,0.763879272318982,0.5417520508911506
21,8.0,log2,1,0.763879272318982,0.5412011007538219
22,8.0,sqrt,3,0.764090242783117,0.54141594825824
23,8.0,log2,3,0.764090242783117,0.5411518125390361
24,8.0,sqrt,5,0.764090242783117,0.5411242504220783
25,8.0,log2,5,0.764090242783117,0.5407934997917805
26,8.0,sqrt,10,0.764090242783117,0.5407951406287023
27,8.0,log2,10,0.764090242783117,0.540385309324173
28,8.0,sqrt,15,0.764090242783117,0.5402295374713015
29,8.0,log2,15,0.764090242783117,0.5399674914118713
30,12.0,sqrt,1,0.764090242783117,0.5454369513247836
31,12.0,log2,1,0.763668301854847,0.5450746643966103
32,12.0,sqrt,3,0.763879272318982,0.5439876167863449
33,12.0,log2,3,0.763668301854847,0.5435470055996605
34,12.0,sqrt,5,0.764090242783117,0.5433721753703321
35,12.0,log2,5,0.764090242783117,0.5429705585842977
36,12.0,sqrt,10,0.764090242783117,0.542450924105942
37,12.0,log2,10,0.764090242783117,0.5415928825990505
38,12.0,sqrt,15,0.764090242783117,0.5414760125807885
39,12.0,log2,15,0.764090242783117,0.5411075903950778
40,,sqrt,1,0.7609261313764543,0.5556797270421081
41,,log2,1,0.7605041904481842,0.554737582588622
42,,sqrt,3,0.7621917313835831,0.5495711236497162
43,,log2,3,0.7615585972134968,0.54871166045851
44,,sqrt,5,0.7630356132401233,0.5469253844585007
45,,log2,5,0.7634579997237557,0.5461777417947048
46,,sqrt,10,0.764090242783117,0.5443581780054734
47,,log2,10,0.764090242783117,0.5438484342252032
48,,sqrt,15,0.764090242783117,0.5429165096282332
49,,log2,15,0.764090242783117,0.5424847430999854
