,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.5657338965153115,0.9359042257799054
1,3.0,log2,1,0.5653119555870414,0.9380845841469336
2,3.0,sqrt,3,0.5667894171690303,0.9359767626877261
3,3.0,log2,3,0.5644678509528201,0.9383668518682817
4,3.0,sqrt,5,0.566789194391349,0.9360833560626818
5,3.0,log2,5,0.5646788214169551,0.9380670845273761
6,3.0,sqrt,10,0.5663672534630791,0.9360216668206359
7,3.0,log2,10,0.5646788214169552,0.9380708949744717
8,3.0,sqrt,15,0.5670006104108466,0.935799325374665
9,3.0,log2,15,0.5646788214169552,0.9380499238853235
10,5.0,sqrt,1,0.5689000129211055,0.926572352103553
11,5.0,log2,1,0.569532478758148,0.9281570765455023
12,5.0,sqrt,3,0.5680556855092029,0.9264236383643156
13,5.0,log2,3,0.5693212855163318,0.9281834277580886
14,5.0,sqrt,5,0.5686892652346518,0.9261260685180946
15,5.0,log2,5,0.5688993445880618,0.9280253766110571
16,5.0,sqrt,10,0.5686888196792893,0.9260167476509814
17,5.0,log2,10,0.5686881513462455,0.9278055139797445
18,5.0,sqrt,15,0.5680561310645654,0.9259389837224097
19,5.0,log2,15,0.5699544196864181,0.9277392563421681
20,8.0,sqrt,1,0.5678453833781116,0.9272094760000243
21,8.0,log2,1,0.5672133630964316,0.928059265480951
22,8.0,sqrt,3,0.5663685901291665,0.9264150988979925
23,8.0,log2,3,0.5665797833709827,0.9271323174697758
24,8.0,sqrt,5,0.568268438194788,0.9259675698016394
25,8.0,log2,5,0.5661582879980752,0.926443830482223
26,8.0,sqrt,10,0.568690379123058,0.9251324519084905
27,8.0,log2,10,0.5672124719857066,0.926116688286087
28,8.0,sqrt,15,0.5680574677306528,0.924725489810819
29,8.0,log2,15,0.5676344129139765,0.9256869270592232
30,12.0,sqrt,1,0.564047692246,0.9373581678725526
31,12.0,log2,1,0.5640479150236813,0.9376095222539507
32,12.0,sqrt,3,0.5665795605933015,0.9330598503485865
33,12.0,log2,3,0.5676346356916578,0.9331086469067829
34,12.0,sqrt,5,0.5699562019078681,0.9309498420376603
35,12.0,log2,5,0.5689006812541492,0.9312163785470788
36,12.0,sqrt,10,0.5722768770133533,0.9272865332404349
37,12.0,log2,10,0.5682668787510192,0.9282831194390517
38,12.0,sqrt,15,0.5695335926465542,0.9261755332185555
39,12.0,log2,15,0.5680559082868841,0.9269838554433063
40,,sqrt,1,0.5608817986178872,0.9493540689476871
41,,log2,1,0.5606701598207086,0.9495859455187183
42,,sqrt,3,0.5638369445595462,0.9387779553177517
43,,log2,3,0.5629930627030062,0.938401257775034
44,,sqrt,5,0.5655242627172639,0.9333934837897646
45,,log2,5,0.5661576196650315,0.9331246632341763
46,,sqrt,10,0.5722768770133533,0.9281951028658805
47,,log2,10,0.5703774745030944,0.9290886132616316
48,,sqrt,15,0.5691114289406031,0.9266534167235172
49,,log2,15,0.5680565766199279,0.9273516748589712
