,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.5682655420849317,0.9355658151024014
1,3.0,log2,1,0.5638351623380963,0.937854770357261
2,3.0,sqrt,3,0.5667889716136678,0.9356454620976586
3,3.0,log2,3,0.5648897918810902,0.9380358829749808
4,3.0,sqrt,5,0.5674218830060729,0.9356285493795952
5,3.0,log2,5,0.5644687420635451,0.9379736384531269
6,3.0,sqrt,10,0.5676330762478893,0.9355805482385315
7,3.0,log2,10,0.5646792669723176,0.937891169913757
8,3.0,sqrt,15,0.568476735326748,0.9353938380440422
9,3.0,log2,15,0.5644685192858638,0.9379223581312843
10,5.0,sqrt,1,0.5705884449672294,0.9261372816608162
11,5.0,log2,1,0.567634858469339,0.9278052090643623
12,5.0,sqrt,3,0.5695333698688729,0.9259446783685503
13,5.0,log2,3,0.5686897107900142,0.927687534095521
14,5.0,sqrt,5,0.5693226221824192,0.9259706504554186
15,5.0,log2,5,0.5678456061557928,0.9277679253620554
16,5.0,sqrt,10,0.5682673243063816,0.9255827891853352
17,5.0,log2,10,0.5684787403258791,0.9278381735496518
18,5.0,sqrt,15,0.5684782947705167,0.9256164210498239
19,5.0,log2,15,0.5678458289334741,0.9275237288259952
20,8.0,sqrt,1,0.568691270233783,0.9261413932760295
21,8.0,log2,1,0.5697467908875018,0.9271379543315195
22,8.0,sqrt,3,0.5718571638618957,0.9254595367510134
23,8.0,log2,3,0.569536043201048,0.9262813082886467
24,8.0,sqrt,5,0.5695344837572792,0.9245685159698047
25,8.0,log2,5,0.5682691065278316,0.9257228393662869
26,8.0,sqrt,10,0.5705895588556356,0.9238294026417366
27,8.0,log2,10,0.5691127656066904,0.9251001987030619
28,8.0,sqrt,15,0.5697450086660518,0.924254408549683
29,8.0,log2,15,0.5682693293055129,0.925365599932903
30,12.0,sqrt,1,0.5632042559448224,0.9349910595505048
31,12.0,log2,1,0.5634154491866387,0.9358278680641196
32,12.0,sqrt,3,0.5674245563382478,0.930909570940033
33,12.0,log2,3,0.5693257410699567,0.9317035656804583
34,12.0,sqrt,5,0.567424779115929,0.9294173736419481
35,12.0,log2,5,0.5661591791088001,0.9298751051078563
36,12.0,sqrt,10,0.5680576905083341,0.9264151453719889
37,12.0,log2,10,0.568902463475599,0.9268577631142658
38,12.0,sqrt,15,0.5712233613587656,0.9251198839270076
39,12.0,log2,15,0.5689024634755991,0.9261173345528487
40,,sqrt,1,0.5577188010996307,0.9478437271662917
41,,log2,1,0.5589841783290783,0.9468475773281286
42,,sqrt,3,0.5615160466763798,0.936644609669195
43,,log2,3,0.5638369445595462,0.9356866784024739
44,,sqrt,5,0.5642599993762224,0.9315156570181511
45,,log2,5,0.5642608904869475,0.9315750980654858
46,,sqrt,10,0.5691134339397341,0.9268888555285276
47,,log2,10,0.5682693293055129,0.9278088729510199
48,,sqrt,15,0.5693232905154629,0.9256969403843989
49,,log2,15,0.5716457478423982,0.926167533153994
