,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.5524407522756739,0.9509715459797967
1,3.0,log2,1,0.5524407522756739,0.9509715459797965
2,3.0,sqrt,3,0.5524405294979927,0.9508821997850603
3,3.0,log2,3,0.5515966476414527,0.9510211687044693
4,3.0,sqrt,5,0.5513856771773177,0.9510269297231011
5,3.0,log2,5,0.5515968704191339,0.9511303530463383
6,3.0,sqrt,10,0.552018811347404,0.9508904189819379
7,3.0,log2,10,0.5522297818115389,0.9509073000952324
8,3.0,sqrt,15,0.5522295590338577,0.9509105731811486
9,3.0,log2,15,0.5515966476414527,0.9508129652900974
10,5.0,sqrt,1,0.5606692687099836,0.9418314603320551
11,5.0,log2,1,0.5610912096382537,0.9418904284858357
12,5.0,sqrt,3,0.5604580754681674,0.9416835765410074
13,5.0,log2,3,0.5604580754681674,0.9417936843463478
14,5.0,sqrt,5,0.5602473277817135,0.941621617810862
15,5.0,log2,5,0.5600363573175786,0.9416233415028825
16,5.0,sqrt,10,0.5606690459323024,0.9412522864121211
17,5.0,log2,10,0.5608800163964374,0.9412490770035461
18,5.0,sqrt,15,0.5608797936187562,0.9413869830213197
19,5.0,log2,15,0.5604578526904861,0.9412334111642433
20,8.0,sqrt,1,0.5608806847294809,0.9407915202094174
21,8.0,log2,1,0.5613032939907948,0.9408167253816927
22,8.0,sqrt,3,0.5613032939907948,0.9398900900246561
23,8.0,log2,3,0.5636244146516425,0.9396637272246154
24,8.0,sqrt,5,0.5621467302919724,0.9393690626217335
25,8.0,log2,5,0.56278008723974,0.9395083185622388
26,8.0,sqrt,10,0.5596146391669896,0.9391590403185562
27,8.0,log2,10,0.5617243438083399,0.939181968051715
28,8.0,sqrt,15,0.5608793480633936,0.9389337110540126
29,8.0,log2,15,0.5617232299199337,0.9389569623966786
30,12.0,sqrt,1,0.5602495555585258,0.9493973560899166
31,12.0,log2,1,0.5594056737019859,0.9494920611166338
32,12.0,sqrt,3,0.5600381395390285,0.9449449881373597
33,12.0,log2,3,0.5608820213955685,0.9448053604401079
34,12.0,sqrt,5,0.5625711217747361,0.9427410581007045
35,12.0,log2,5,0.5632040331671412,0.9428834168478089
36,12.0,sqrt,10,0.5610918779712973,0.9404814056753736
37,12.0,log2,10,0.5632031420564162,0.9401649407389441
38,12.0,sqrt,15,0.5600361345398972,0.9395046056382178
39,12.0,log2,15,0.5594032231474922,0.9397092921782196
40,,sqrt,1,0.5541309665432479,0.9601182137116548
41,,log2,1,0.5541300754325229,0.9596838848767375
42,,sqrt,3,0.5583494847152234,0.9485104089694602
43,,log2,3,0.5575064939694082,0.9486469146094565
44,,sqrt,5,0.5600388078720722,0.9445535966868697
45,,log2,5,0.5606712737091147,0.9447512332677167
46,,sqrt,10,0.5615138188995674,0.9407209443182645
47,,log2,10,0.5613028484354323,0.9411130524322449
48,,sqrt,15,0.5604580754681674,0.9397581058992064
49,,log2,15,0.5617243438083399,0.9395624923416193
