,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.5456883607572659,0.9546487581400598
1,3.0,log2,1,0.5450552265871795,0.9555044491606154
2,3.0,sqrt,3,0.545899331221401,0.9546675009310375
3,3.0,log2,3,0.5454771675154497,0.9552771027954133
4,3.0,sqrt,5,0.5454771675154496,0.9545743466931785
5,3.0,log2,5,0.5456885835349471,0.9552729945832507
6,3.0,sqrt,10,0.5458995539990822,0.9544865399920571
7,3.0,log2,10,0.5463214949273522,0.9551658897077562
8,3.0,sqrt,15,0.5465324653914873,0.9547574739207884
9,3.0,log2,15,0.5461105244632172,0.9552087910144316
10,5.0,sqrt,1,0.547166045116936,0.9494595635793706
11,5.0,log2,1,0.5477991792870223,0.949939675750765
12,5.0,sqrt,3,0.5465331337245309,0.9496522876127182
13,5.0,log2,3,0.5484323134571085,0.9495993836868802
14,5.0,sqrt,5,0.5467438814109848,0.9493159882081514
15,5.0,log2,5,0.5475882088228874,0.9495863133620362
16,5.0,sqrt,10,0.5484320906794273,0.9493101932131296
17,5.0,log2,10,0.5475879860452061,0.9497998853303894
18,5.0,sqrt,15,0.5490654476271949,0.9490800570102852
19,5.0,log2,15,0.5477989565093411,0.9497658222701671
20,8.0,sqrt,1,0.5496972451311939,0.9499138996956302
21,8.0,log2,1,0.5509632906936852,0.9502221000865319
22,8.0,sqrt,3,0.550331270412005,0.9497425902311596
23,8.0,log2,3,0.551807840883269,0.9498445504947094
24,8.0,sqrt,5,0.5503308248566425,0.949703155416912
25,8.0,log2,5,0.5490641109611075,0.9495445096349581
26,8.0,sqrt,10,0.5511753750462264,0.9492282871518871
27,8.0,log2,10,0.5513850088442739,0.9490108548880135
28,8.0,sqrt,15,0.5501196316148264,0.9493572349886105
29,8.0,log2,15,0.5499084383730101,0.9490301221003701
30,12.0,sqrt,1,0.5492761953136487,0.9598281539449995
31,12.0,log2,1,0.5454778358484933,0.9587264744909992
32,12.0,sqrt,3,0.5446343995473157,0.9561046321404142
33,12.0,log2,3,0.5471673817830235,0.9550954000981384
34,12.0,sqrt,5,0.5469561885412072,0.9540518537399209
35,12.0,log2,5,0.550543131986865,0.9530532722948013
36,12.0,sqrt,10,0.5482211202152925,0.9512605335217227
37,12.0,log2,10,0.5496983590195998,0.9515071918881184
38,12.0,sqrt,15,0.5507525430072313,0.9503419628806309
39,12.0,log2,15,0.5503306020789613,0.9501456100484977
40,,sqrt,1,0.5437891810246882,0.9738100856322305
41,,log2,1,0.5435786561159157,0.9736071966632147
42,,sqrt,3,0.5452677564950832,0.9618658857532543
43,,log2,3,0.545901336220532,0.960196498145773
44,,sqrt,5,0.5469564113188884,0.9559974531775609
45,,log2,5,0.5452679792727645,0.9557889506304832
46,,sqrt,10,0.5480103725288386,0.9522670619914028
47,,log2,10,0.5480101497511574,0.9524272069973012
48,,sqrt,15,0.550331270412005,0.9507177279591688
49,,log2,15,0.5496974679088751,0.9505608409826506
