,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.5688995673657431,0.9344270437213356
1,3.0,log2,1,0.5688995673657431,0.9344270437213356
2,3.0,sqrt,3,0.5678442694897055,0.9347871217153407
3,3.0,log2,3,0.5674223285614354,0.9351312611216219
4,3.0,sqrt,5,0.5674223285614354,0.9350629330035864
5,3.0,log2,5,0.567633744580933,0.9348479316275308
6,3.0,sqrt,10,0.568266655973338,0.9346423512035049
7,3.0,log2,10,0.5682668787510192,0.9346448692557148
8,3.0,sqrt,15,0.5684776264374729,0.9345424549632136
9,3.0,log2,15,0.568688596901608,0.9346431936967725
10,5.0,sqrt,1,0.5726983723862608,0.9247696899444818
11,5.0,log2,1,0.5724874019221259,0.924695277293248
12,5.0,sqrt,3,0.571643742843267,0.9246727365134987
13,5.0,log2,3,0.5724876246998072,0.9244738575530539
14,5.0,sqrt,5,0.571010831450862,0.9245293763726545
15,5.0,log2,5,0.5729095656280772,0.9244118223427567
16,5.0,sqrt,10,0.5733315065563472,0.9243319150455503
17,5.0,log2,10,0.5726985951639421,0.9243753281894234
18,5.0,sqrt,15,0.5726988179416234,0.9244655801185905
19,5.0,log2,15,0.5726988179416234,0.9243933440506023
20,8.0,sqrt,1,0.5731205360922121,0.9242890731993404
21,8.0,log2,1,0.5724882930328508,0.924145083371487
22,8.0,sqrt,3,0.571643742843267,0.9234175822314608
23,8.0,log2,3,0.5720663521045808,0.9231874809305909
24,8.0,sqrt,5,0.5731212044252558,0.922896181640016
25,8.0,log2,5,0.574176056745931,0.922852802940206
26,8.0,sqrt,10,0.5720661293268995,0.922607600184542
27,8.0,log2,10,0.5733321748893909,0.9220275626665119
28,8.0,sqrt,15,0.5726988179416235,0.922670777140171
29,8.0,log2,15,0.5729095656280772,0.9223976602080105
30,12.0,sqrt,1,0.5676350812470202,0.9329185602226783
31,12.0,log2,1,0.5705886677449106,0.9323930419459263
32,12.0,sqrt,3,0.5733323976670721,0.9289316749000802
33,12.0,log2,3,0.5731225410913433,0.9282018542695619
34,12.0,sqrt,5,0.5743868044323848,0.9265978844431864
35,12.0,log2,5,0.5745986660072447,0.9261923380129172
36,12.0,sqrt,10,0.5756526272171948,0.9242774820736127
37,12.0,log2,10,0.5748087453606547,0.9242370675326438
38,12.0,sqrt,15,0.5720663521045808,0.923817088969759
39,12.0,log2,15,0.574808968138336,0.9238331395210102
40,,sqrt,1,0.563836721781865,0.9435158239861774
41,,log2,1,0.56278186946119,0.943198557551684
42,,sqrt,3,0.5686892652346517,0.9326218084573596
43,,log2,3,0.5714332179344945,0.932691704695598
44,,sqrt,5,0.5716435200655857,0.9287153648868902
45,,log2,5,0.5739653090594772,0.9288878956876692
46,,sqrt,10,0.5769191183350488,0.9249629758707814
47,,log2,10,0.5769191183350487,0.9248964627424101
48,,sqrt,15,0.5726988179416234,0.9240540514138452
49,,log2,15,0.5726990407193046,0.9239762640192207
