,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.5326079692032134,0.9855053581159201
1,3.0,log2,1,0.5317640873466732,0.9864865017125286
2,3.0,sqrt,3,0.5330303556868459,0.9855889458806704
3,3.0,log2,3,0.531552894104857,0.9865006856665579
4,3.0,sqrt,5,0.5334522966151158,0.9854481521943358
5,3.0,log2,5,0.5311313987319495,0.9865547501958234
6,3.0,sqrt,10,0.5332411033732997,0.9854436977032996
7,3.0,log2,10,0.5309202054901332,0.9863492270274048
8,3.0,sqrt,15,0.5336637126346134,0.9854890567326701
9,3.0,log2,15,0.531974835033127,0.9863710302871498
10,5.0,sqrt,1,0.5357729717206011,0.985550278885117
11,5.0,log2,1,0.5368284923743201,0.9859951751144218
12,5.0,sqrt,3,0.5366172991325038,0.9856020297841486
13,5.0,log2,3,0.5380949834921738,0.9861969070281708
14,5.0,sqrt,5,0.5355622240341473,0.9856257365205974
15,5.0,log2,5,0.5368287151520013,0.9860142451239288
16,5.0,sqrt,10,0.5361953582042337,0.9857726344417269
17,5.0,log2,10,0.5364067742237312,0.9862696311282445
18,5.0,sqrt,15,0.5359841649624174,0.9860833592294066
19,5.0,log2,15,0.5374614037667251,0.986291161419538
20,8.0,sqrt,1,0.5364061058906875,0.9877068163594906
21,8.0,log2,1,0.5361953582042337,0.9875903082353688
22,8.0,sqrt,3,0.5361953582042337,0.9878166797866095
23,8.0,log2,3,0.5353514763476935,0.9875721850547062
24,8.0,sqrt,5,0.5361958037595961,0.9877536987443074
25,8.0,log2,5,0.5355628923671911,0.987164121299495
26,8.0,sqrt,10,0.5355631151448723,0.9875393452105217
27,8.0,log2,10,0.5359848332954612,0.9876951097209886
28,8.0,sqrt,15,0.5355626695895099,0.9880018601946302
29,8.0,log2,15,0.537461403766725,0.9875785445143188
30,12.0,sqrt,1,0.5357729717206011,0.9939679770838341
31,12.0,log2,1,0.5359841649624174,0.9932510676035134
32,12.0,sqrt,3,0.5330301329091646,0.9929826904438974
33,12.0,log2,3,0.5340856535628835,0.9927233512338962
34,12.0,sqrt,5,0.5359850560731424,0.9923798380669941
35,12.0,log2,5,0.5357736400536449,0.9917266461225637
36,12.0,sqrt,10,0.5353523674584185,0.9906073239263138
37,12.0,log2,10,0.5370399083938174,0.9904189747966783
38,12.0,sqrt,15,0.536407442556775,0.9901808293491252
39,12.0,log2,15,0.5361960265372774,0.9898247976589216
40,,sqrt,1,0.5311309531765869,1.0080157558847787
41,,log2,1,0.5307083439152732,1.0077460844872461
42,,sqrt,3,0.5323978898498033,1.0012521879474285
43,,log2,3,0.5332413261509809,1.0007310159805416
44,,sqrt,5,0.5336632670792509,0.9967819634657296
45,,log2,5,0.5328189396673484,0.996084611270248
46,,sqrt,10,0.5351402831058772,0.9925715299214948
47,,log2,10,0.5347183421776073,0.9919003582068939
48,,sqrt,15,0.5359850560731424,0.9908412546522503
49,,log2,15,0.5366177446878662,0.9904045898622968
