,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.5347201243990571,0.9843314335435995
1,3.0,log2,1,0.5321873649410308,0.9856499594727699
2,3.0,sqrt,3,0.5347201243990571,0.984290725836634
3,3.0,log2,3,0.5332433311501121,0.9858669976145016
4,3.0,sqrt,5,0.5357749767197323,0.9843849683786401
5,3.0,log2,5,0.5328204991111171,0.985618426284276
6,3.0,sqrt,10,0.534508931157241,0.9844764165032531
7,3.0,log2,10,0.5328207218887983,0.9859036163524959
8,3.0,sqrt,15,0.5349306493078297,0.9844739752655164
9,3.0,log2,15,0.5338757969871547,0.9857716302907467
10,5.0,sqrt,1,0.5342984062484685,0.9820974298621756
11,5.0,log2,1,0.533454301614247,0.9832792380065527
12,5.0,sqrt,3,0.5353534813468247,0.9823182751631523
13,5.0,log2,3,0.5347210155097821,0.9833864892916454
14,5.0,sqrt,5,0.5338766880978796,0.9825108039131214
15,5.0,log2,5,0.5336652720783821,0.9833795712558541
16,5.0,sqrt,10,0.5340869902289709,0.9826803946207805
17,5.0,log2,10,0.534719901621376,0.983833811302598
18,5.0,sqrt,15,0.5338762425425171,0.9830719547835234
19,5.0,log2,15,0.5355644518109598,0.9839788656511166
20,8.0,sqrt,1,0.5364087792228623,0.9825618603521479
21,8.0,log2,1,0.5338755742094735,0.9827069033943742
22,8.0,sqrt,3,0.535353704124506,0.9823622377859589
23,8.0,log2,3,0.5340869902289709,0.9828244604443974
24,8.0,sqrt,5,0.5349313176408734,0.9827006975364847
25,8.0,log2,5,0.5353534813468247,0.9827880913299639
26,8.0,sqrt,10,0.5364087792228623,0.9828968015215069
27,8.0,log2,10,0.5353539269021873,0.9832440621738352
28,8.0,sqrt,15,0.534719901621376,0.9835759615801483
29,8.0,log2,15,0.5357745311643698,0.9837738564213504
30,12.0,sqrt,1,0.5307096805813607,0.9863333487033861
31,12.0,log2,1,0.533031469575252,0.9863690731738302
32,12.0,sqrt,3,0.5317654240127607,0.9860737531563218
33,12.0,log2,3,0.5330316923529332,0.9857596376971502
34,12.0,sqrt,5,0.5317647556797169,0.9859714683637805
35,12.0,log2,5,0.5328198307780734,0.985771722029738
36,12.0,sqrt,10,0.5334538560588846,0.9852908464089991
37,12.0,log2,10,0.5336648265230196,0.9851298424317243
38,12.0,sqrt,15,0.5336646037453384,0.9850858003096914
39,12.0,log2,15,0.5342981834707872,0.9852251603290707
40,,sqrt,1,0.5254338595342164,0.999173357282076
41,,log2,1,0.5275435641755666,0.9994879431664782
42,,sqrt,3,0.5296554965937292,0.9937042532609514
43,,log2,3,0.5292335556654593,0.9933291366465078
44,,sqrt,5,0.5283890054758753,0.990505823359543
45,,log2,5,0.5300767691889556,0.9897421346392343
46,,sqrt,10,0.5311316215096307,0.9870525779002159
47,,log2,10,0.5319763944768957,0.9866892043350772
48,,sqrt,15,0.5317654240127607,0.9859994246305179
49,,log2,15,0.5313434830844908,0.9859387819927352
