,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.5283870004767441,0.9854032808395179
1,3.0,log2,1,0.5283870004767441,0.9854032808395179
2,3.0,sqrt,3,0.5290201346468304,0.9853292736340888
3,3.0,log2,3,0.5292311051109655,0.9852688404330096
4,3.0,sqrt,5,0.528175807234928,0.9853271743242779
5,3.0,log2,5,0.528175807234928,0.9853271743242779
6,3.0,sqrt,10,0.5288089414050142,0.9853767231347511
7,3.0,log2,10,0.5292308823332843,0.9853963006132791
8,3.0,sqrt,15,0.5294420755751006,0.9855223433032443
9,3.0,log2,15,0.530075209745187,0.9854008477805507
10,5.0,sqrt,1,0.5307076755822295,0.9882822968497689
11,5.0,log2,1,0.5302857346539593,0.9882488322348429
12,5.0,sqrt,3,0.5311296165104994,0.9881706468234478
13,5.0,log2,3,0.5307078983599107,0.9881419812015146
14,5.0,sqrt,5,0.5307078983599107,0.9881909374095059
15,5.0,log2,5,0.530496259562732,0.9881692035426113
16,5.0,sqrt,10,0.5307076755822295,0.9884679446362942
17,5.0,log2,10,0.5302855118762781,0.9884564341725962
18,5.0,sqrt,15,0.5311293937328182,0.9886456124541076
19,5.0,log2,15,0.5311296165104994,0.9886236414914487
20,8.0,sqrt,1,0.5311287253997745,0.9928749987441476
21,8.0,log2,1,0.5317616367921796,0.9931485446079863
22,8.0,sqrt,3,0.5317620823475421,0.992953234255799
23,8.0,log2,3,0.5311289481774558,0.9930899411284221
24,8.0,sqrt,5,0.5319723844786334,0.9930681535821773
25,8.0,log2,5,0.531972830033996,0.9929537080338502
26,8.0,sqrt,10,0.5326052958710383,0.9932807953263467
27,8.0,log2,10,0.5328164891128546,0.9932396010144686
28,8.0,sqrt,15,0.5326050730933571,0.993202433756666
29,8.0,log2,15,0.5323941026292222,0.9932310224890941
30,12.0,sqrt,1,0.5309175321579583,0.997757386139814
31,12.0,log2,1,0.5302841752101908,0.998061923632957
32,12.0,sqrt,3,0.5298615659488769,0.9970698872648353
33,12.0,log2,3,0.5296505954847419,0.9970515614201737
34,12.0,sqrt,5,0.5300729819683745,0.9964979873307772
35,12.0,log2,5,0.529862457059602,0.9968801209020588
36,12.0,sqrt,10,0.5300732047460557,0.9959450388641573
37,12.0,log2,10,0.5309170866025958,0.996020477401083
38,12.0,sqrt,15,0.5317607456814546,0.995369186817506
39,12.0,log2,15,0.5328155980021297,0.9955755049808849
40,,sqrt,1,0.5256439388876265,1.0085256445582997
41,,log2,1,0.5256437161099452,1.0085128384756235
42,,sqrt,3,0.5290192435361056,1.0031714301297232
43,,log2,3,0.5273312570453441,1.003551998175213
44,,sqrt,5,0.5298629026149644,1.0005905063594058
45,,log2,5,0.5275417819541166,1.0006616564312913
46,,sqrt,10,0.5294407389090131,0.9972331093215647
47,,log2,10,0.5296517093731482,0.9974571242001117
48,,sqrt,15,0.531760968459136,0.9961780514492634
49,,log2,15,0.532182909387406,0.9961660452444091
