,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.5039050699744697,1.0152717927254304
1,3.0,log2,1,0.504327233680421,1.015276339135403
2,3.0,sqrt,3,0.5041164859939673,1.0153796811623992
3,3.0,log2,3,0.5047493973863723,1.0151155055535237
4,3.0,sqrt,5,0.5045384269222373,1.0153671877295172
5,3.0,log2,5,0.504538204144556,1.0153529450898084
6,3.0,sqrt,10,0.5047493973863723,1.015393021377822
7,3.0,log2,10,0.5039048471967884,1.0154527228340031
8,3.0,sqrt,15,0.5047493973863723,1.0152695446278905
9,3.0,log2,15,0.5039048471967884,1.0153758722319375
10,5.0,sqrt,1,0.5083365636097114,1.0156131467855734
11,5.0,log2,1,0.5079146226814413,1.0158323715105075
12,5.0,sqrt,3,0.5089696977797976,1.0155475810455115
13,5.0,log2,3,0.5087587273156626,1.0157536028415695
14,5.0,sqrt,5,0.5096026091722027,1.0155705335323533
15,5.0,log2,5,0.5089694750021163,1.0156488798866727
16,5.0,sqrt,10,0.510446713806424,1.0157235564310698
17,5.0,log2,10,0.5081258159232576,1.0157347969185286
18,5.0,sqrt,15,0.510235743342289,1.015945642961236
19,5.0,log2,15,0.5079148454591225,1.016068303272649
20,8.0,sqrt,1,0.5140329889190381,1.013778007126648
21,8.0,log2,1,0.5129783593760442,1.014272085555415
22,8.0,sqrt,3,0.5144555981803519,1.0131685443335594
23,8.0,log2,3,0.515510450501027,1.013579420332505
24,8.0,sqrt,5,0.5165648572663396,1.0133930351320566
25,8.0,log2,5,0.5144549298473082,1.0138124499987151
26,8.0,sqrt,10,0.5159326142069782,1.013526726872888
27,8.0,log2,10,0.5129785821537255,1.0139473990177206
28,8.0,sqrt,15,0.5148773163309407,1.0138438480988416
29,8.0,log2,15,0.5134005230819956,1.0141628491302215
30,12.0,sqrt,1,0.5150885095727571,1.0165955616130617
31,12.0,log2,1,0.5155102277233456,1.0165944918340633
32,12.0,sqrt,3,0.5167771643965621,1.0154957302484653
33,12.0,log2,3,0.5167771643965621,1.0154933719419486
34,12.0,sqrt,5,0.5171991053248322,1.0147154988343592
35,12.0,log2,5,0.517619932364696,1.0145085041929036
36,12.0,sqrt,10,0.5171984369917884,1.0142156665969844
37,12.0,log2,10,0.5159328369846595,1.0144621543296914
38,12.0,sqrt,15,0.5174094074559236,1.014316243038882
39,12.0,log2,15,0.5157216437428433,1.0142203756030264
40,,sqrt,1,0.5093905248196615,1.0361562999226461
41,,log2,1,0.5115004522386929,1.0364495304440573
42,,sqrt,3,0.5121331408534167,1.0247947301525289
43,,log2,3,0.5115002294610117,1.0242493863133895
44,,sqrt,5,0.5186750074630524,1.0194262609383244
45,,log2,5,0.5159315003185722,1.0188917628518048
46,,sqrt,10,0.517409853011286,1.0156980374825975
47,,log2,10,0.5178315711618747,1.0150662519197706
48,,sqrt,15,0.5167769416188809,1.0146898235940143
49,,log2,15,0.5138222412325845,1.0146392548932341
